subject,session,window_start_sec,window_end_sec,t_sec,ear,pitch,yaw,p_v,p_p,kss,y_binary
A,A,0.0,60.0,30.0,0.29207992566219837,-4.821686678325807,13.471618631390063,0.67,0.27,4.0,0
A,A,30.0,90.0,60.0,0.28809837167382907,-1.6328623563087732,29.335799083265396,0.57,0.43333333333333335,4.0,0
A,A,60.0,120.0,90.0,0.27936348477408574,-4.29237321634243,43.624003258817034,0.76,0.21,4.0,0
A,A,90.0,150.0,120.0,0.2872345223151467,-7.323184616680552,32.593471933384656,0.49,0.45666666666666667,4.0,0
A,A,120.0,180.0,150.0,0.30035045838333746,-7.645840043342461,36.8964798677517,0.37,0.36666666666666664,4.0,0
A,A,150.0,210.0,180.0,0.29571025220911856,-4.674833293271445,49.71120658634876,0.6,0.53,5.0,0
A,A,180.0,240.0,210.0,0.284956200673786,-3.9362463606739277,48.67936046657298,0.46,0.14,5.0,0
A,A,210.0,270.0,240.0,0.27478322028889607,-3.8191221286439445,49.59024052964449,0.51,0.13333333333333333,5.0,0
A,A,240.0,300.0,270.0,0.2710651130723646,-2.1634521533622975,41.20100026742226,0.54,0.32,5.0,0
A,A,270.0,330.0,300.0,0.2698910797306483,0.3081502450165355,21.43316117825615,0.45,0.5033333333333333,5.0,0
A,A,300.0,360.0,330.0,0.27268362671501245,-1.064443878521171,33.75957785125427,0.45,0.45,5.0,0
A,A,330.0,390.0,360.0,0.2853453278491566,-5.089612285537784,58.65063062916197,0.24,0.33666666666666667,5.0,0
A,A,360.0,420.0,390.0,0.2815004173980149,-6.151136482984901,51.45337189215996,0.47,0.30333333333333334,5.0,0
A,A,390.0,450.0,420.0,0.27408394231220223,-6.622638983545667,51.25256529646542,0.5,0.5366666666666666,6.0,1
A,A,420.0,480.0,450.0,0.27972127529612406,-6.237804715406377,54.68084604794466,0.24,0.5433333333333333,6.0,1
A,A,450.0,510.0,480.0,0.28158765712042844,-6.363412945873231,55.34475558224678,0.31,0.6433333333333333,6.0,1
A,A,480.0,540.0,510.0,0.28226128949187285,-1.988412047431567,37.5375784286695,0.47,0.4633333333333333,6.0,1
A,A,510.0,570.0,540.0,0.28165767712136625,-0.5755787841885992,34.53702828016897,0.38,0.34,6.0,1
A,A,540.0,600.0,570.0,0.2802874564980804,-2.8872189843829954,48.073661630465125,0.58,0.47333333333333333,6.0,1
A,D,0.0,60.0,30.0,0.26643858156854316,4.611274121255479,-12.982766665116385,0.81,0.38666666666666666,6.0,1
A,D,30.0,90.0,60.0,0.25914349786758356,4.435795622876025,-22.609994558735348,0.7,0.4533333333333333,7.0,1
A,D,60.0,120.0,90.0,0.25463509749628543,3.6854323547101187,-17.96388582446182,0.75,0.49333333333333335,7.0,1
A,D,210.0,270.0,240.0,0.2576905750452685,3.359836130503997,-2.7225054455420477,0.93,0.87,8.0,1
A,D,240.0,300.0,270.0,0.26651435712385857,2.6622536568265205,-11.22973218165674,0.72,0.75,8.0,1
A,D,510.0,570.0,540.0,0.2638649401398511,4.272634588774684,8.5542015482469,0.63,0.6833333333333333,8.0,1
A,D,540.0,600.0,570.0,0.2710520137030121,4.877070811560211,14.09253549399811,0.58,0.49333333333333335,8.0,1
C,A,0.0,60.0,30.0,0.2293834519022789,-8.049722249737858,-56.134742389660786,0.1,0.5833333333333334,4.0,0
C,A,150.0,210.0,180.0,0.23788126804457904,-7.644388108709152,-41.396984435354355,0.12,0.7133333333333334,3.0,0
C,A,180.0,240.0,210.0,0.24001546627416576,-8.064741332618118,-45.578714121786184,0.11,0.71,3.0,0
C,A,210.0,270.0,240.0,0.23524291097058972,-7.754902403395344,-57.897341263681206,0.0,0.4766666666666667,5.0,0
